Student ID,First Name,Last Name,hours,final_score
STU_0001,Anjali,Kumar,34.5,70.2
STU_0002,Neha,Gupta,24.1,95.6
STU_0003,Deepak,Patel,9.8,88.9
STU_0004,Sagar,Singh,32.2,59.4
STU_0005,Anjali,Singh,20.5,98.9
STU_0006,Pooja,Joshi,9.6,82.5
STU_0007,Priya,Kumar,32.7,43.7
STU_0008,Anjali,Kumar,27.7,42.1
STU_0009,Deepak,Yadav,27.0,50.1
STU_0010,Sagar,Chouksey,26.3,83.7
STU_0011,Neha,Kumar,11.0,51.0
STU_0012,Deepak,Verma,11.3,70.7
STU_0013,Deepak,Chouksey,25.6,45.6
STU_0014,Priya,Verma,11.6,95.3
STU_0015,Rohit,Singh,18.2,60.6
STU_0016,Sagar,Chouksey,28.5,94.5
STU_0017,Amit,Kumar,28.5,96.7
STU_0018,Deepak,Gupta,18.6,40.4
STU_0019,Rohit,Joshi,28.8,67.8
STU_0020,Amit,Verma,30.2,41.5
STU_0021,Sagar,Chouksey,24.6,94.5
STU_0022,Rahul,Kumar,11.9,71.1
STU_0023,Pooja,Chouksey,13.2,44.5
STU_0024,Rohit,Kumar,14.4,46.6
STU_0025,Karan,Kumar,8.5,63.0
STU_0026,Rahul,Kumar,13.2,96.4
STU_0027,Pooja,Yadav,11.3,81.6
STU_0028,Priya,Joshi,18.7,92.1
STU_0029,Anjali,Gupta,32.3,62.0
STU_0030,Neha,Gupta,8.1,42.6
STU_0031,Karan,Chouksey,26.6,98.5
STU_0032,Priya,Chouksey,25.6,41.0
STU_0033,Sagar,Kumar,7.9,96.9
STU_0034,Priya,Yadav,32.7,62.1
STU_0035,Anjali,Kumar,22.1,40.6
STU_0036,Sagar,Yadav,15.9,81.3
STU_0037,Karan,Kumar,27.7,98.8
STU_0038,Anjali,Verma,12.7,97.9
STU_0039,Amit,Verma,25.8,49.7
STU_0040,Neha,Singh,6.2,50.9
STU_0041,Karan,Kumar,30.2,73.9
STU_0042,Amit,Joshi,18.4,78.2
STU_0043,Pooja,Singh,24.1,84.4
STU_0044,Karan,Chouksey,11.6,50.9
STU_0045,Pooja,Patel,25.3,97.5
STU_0046,Sagar,Kumar,28.2,78.3
STU_0047,Amit,Verma,19.2,90.8
STU_0048,Neha,Patel,23.5,72.4
STU_0049,Anjali,Yadav,18.7,64.9
STU_0050,Deepak,Patel,31.8,98.6
STU_0051,Priya,Joshi,19.9,74.9
STU_0052,Rahul,Kumar,30.3,92.0
STU_0053,Neha,Gupta,29.0,97.2
STU_0054,Amit,Patel,17.3,80.5
STU_0055,Deepak,Gupta,11.9,72.9
STU_0056,Neha,Yadav,17.2,40.2
STU_0057,Amit,Singh,29.8,42.4
STU_0058,Rohit,Gupta,11.8,52.1
STU_0059,Rohit,Singh,20.7,51.2
STU_0060,Pooja,Verma,29.2,55.3
STU_0061,Neha,Kumar,15.6,58.3
STU_0062,Rohit,Patel,24.3,61.6
STU_0063,Amit,Verma,12.4,65.2
STU_0064,Pooja,Verma,8.3,45.9
STU_0065,Amit,Mishra,28.8,42.5
STU_0066,Pooja,Sharma,8.0,80.4
STU_0067,Neha,Joshi,13.1,72.2
STU_0068,Deepak,Singh,30.7,66.6
STU_0069,Anjali,Mishra,15.4,78.1
STU_0070,Karan,Sharma,34.2,89.7
STU_0071,Deepak,Joshi,34.4,65.7
STU_0072,Sagar,Singh,13.0,78.5
STU_0073,Amit,Kumar,6.2,97.2
STU_0074,Sagar,Joshi,26.2,90.4
STU_0075,Deepak,Patel,18.5,65.6
STU_0076,Pooja,Verma,8.0,78.7
STU_0077,Karan,Sharma,26.2,50.6
STU_0078,Karan,Sharma,5.9,73.6
STU_0079,Rahul,Sharma,31.1,98.9
STU_0080,Karan,Singh,9.2,71.1
STU_0081,Anjali,Patel,8.8,95.7
STU_0082,Karan,Joshi,10.3,64.4
STU_0083,Deepak,Verma,33.8,99.9
STU_0084,Rahul,Patel,25.8,74.8
STU_0085,Deepak,Mishra,29.0,42.5
STU_0086,Deepak,Kumar,16.9,75.2
STU_0087,Priya,Gupta,15.1,56.5
STU_0088,Rahul,Patel,12.0,41.9
STU_0089,Deepak,Mishra,19.4,89.3
STU_0090,Priya,Verma,21.6,56.5
STU_0091,Priya,Gupta,24.0,87.8
STU_0092,Rahul,Gupta,12.7,57.3
STU_0093,Sagar,Patel,33.5,51.7
STU_0094,Pooja,Sharma,10.1,98.4
STU_0095,Anjali,Chouksey,34.0,61.7
STU_0096,Pooja,Verma,5.4,76.1
STU_0097,Karan,Sharma,19.4,76.6
STU_0098,Anjali,Verma,15.0,73.6
STU_0099,Karan,Chouksey,18.5,94.9
STU_0100,Deepak,Kumar,22.1,80.5
STU_0101,Amit,Chouksey,18.1,64.2
STU_0102,Rahul,Yadav,17.4,91.7
STU_0103,Anjali,Patel,27.0,50.9
STU_0104,Anjali,Patel,25.6,72.7
STU_0105,Deepak,Mishra,30.0,97.0
STU_0106,Sagar,Sharma,12.5,77.5
STU_0107,Priya,Mishra,23.3,89.0
STU_0108,Deepak,Yadav,22.6,79.2
STU_0109,Rohit,Chouksey,16.1,90.4
STU_0110,Priya,Patel,19.6,96.7
STU_0111,Rahul,Singh,14.4,56.4
STU_0112,Priya,Chouksey,9.3,50.2
STU_0113,Sagar,Chouksey,11.4,69.0
STU_0114,Priya,Yadav,8.2,82.1
STU_0115,Rahul,Kumar,25.5,53.6
STU_0116,Sagar,Verma,24.8,40.2
STU_0117,Pooja,Yadav,33.5,60.6
STU_0118,Anjali,Verma,26.9,98.1
STU_0119,Anjali,Patel,6.6,81.7
STU_0120,Karan,Yadav,31.5,64.1
STU_0121,Pooja,Verma,30.9,51.6
STU_0122,Pooja,Mishra,18.3,61.4
STU_0123,Priya,Yadav,22.6,50.2
STU_0124,Anjali,Patel,34.3,46.4
STU_0125,Rahul,Yadav,21.0,94.4
STU_0126,Neha,Patel,32.2,99.9
STU_0127,Neha,Yadav,7.5,49.8
STU_0128,Sagar,Verma,10.7,43.3
STU_0129,Anjali,Kumar,18.2,59.8
STU_0130,Anjali,Joshi,22.5,67.7
STU_0131,Neha,Verma,29.5,52.3
STU_0132,Anjali,Sharma,34.6,58.1
STU_0133,Priya,Gupta,16.7,52.1
STU_0134,Rohit,Kumar,6.4,86.5
STU_0135,Amit,Mishra,29.0,82.8
STU_0136,Pooja,Chouksey,23.1,78.1
STU_0137,Karan,Verma,11.0,63.2
STU_0138,Sagar,Yadav,19.8,94.5
STU_0139,Rohit,Verma,27.3,98.2
STU_0140,Neha,Singh,28.1,50.4
STU_0141,Pooja,Kumar,20.0,53.4
STU_0142,Anjali,Joshi,14.2,71.5
STU_0143,Karan,Mishra,34.2,45.5
STU_0144,Anjali,Singh,24.9,66.2
STU_0145,Rahul,Patel,17.2,74.9
STU_0146,Rahul,Singh,13.4,71.3
STU_0147,Karan,Verma,26.9,59.9
STU_0148,Karan,Mishra,12.3,72.5
STU_0149,Neha,Verma,10.2,97.5
STU_0150,Karan,Patel,20.9,52.4
STU_0151,Priya,Chouksey,13.7,79.3
STU_0152,Anjali,Mishra,23.9,42.6
STU_0153,Rohit,Chouksey,8.5,44.0
STU_0154,Deepak,Kumar,24.6,73.1
STU_0155,Karan,Kumar,13.5,46.3
STU_0156,Sagar,Chouksey,5.0,41.3
STU_0157,Rahul,Kumar,8.8,50.3
STU_0158,Priya,Mishra,33.0,73.9
STU_0159,Pooja,Yadav,31.0,82.2
STU_0160,Deepak,Sharma,12.0,52.1
STU_0161,Rohit,Kumar,28.4,80.1
STU_0162,Deepak,Kumar,23.3,50.9
STU_0163,Karan,Verma,34.1,76.8
STU_0164,Neha,Chouksey,16.2,64.7
STU_0165,Rahul,Gupta,25.4,79.2
STU_0166,Rahul,Joshi,6.9,99.7
STU_0167,Pooja,Singh,16.9,96.3
STU_0168,Neha,Kumar,33.9,40.3
STU_0169,Anjali,Singh,21.2,93.1
STU_0170,Amit,Mishra,13.6,44.0
STU_0171,Priya,Gupta,8.6,97.2
STU_0172,Rahul,Joshi,26.1,56.9
STU_0173,Sagar,Chouksey,24.3,62.9
STU_0174,Rahul,Sharma,16.2,45.5
STU_0175,Deepak,Joshi,33.5,46.7
STU_0176,Rahul,Joshi,5.7,83.6
STU_0177,Rahul,Sharma,14.1,96.7
STU_0178,Amit,Yadav,32.6,76.6
STU_0179,Amit,Chouksey,14.6,83.0
STU_0180,Rohit,Verma,12.6,85.7
STU_0181,Anjali,Singh,21.0,55.8
STU_0182,Sagar,Kumar,29.7,42.7
STU_0183,Rahul,Joshi,8.1,40.1
STU_0184,Rahul,Mishra,33.3,61.0
STU_0185,Priya,Sharma,28.9,54.5
STU_0186,Amit,Singh,10.4,43.7
STU_0187,Sagar,Gupta,26.4,50.8
STU_0188,Pooja,Sharma,16.5,47.5
STU_0189,Rohit,Gupta,17.1,94.9
STU_0190,Anjali,Chouksey,28.5,48.4
STU_0191,Neha,Joshi,33.9,72.3
STU_0192,Anjali,Mishra,8.8,75.6
STU_0193,Deepak,Kumar,17.6,72.6
STU_0194,Rahul,Gupta,19.4,45.9
STU_0195,Rohit,Singh,16.3,59.1
STU_0196,Deepak,Yadav,15.9,43.1
STU_0197,Sagar,Chouksey,6.6,63.7
STU_0198,Neha,Yadav,25.6,51.3
STU_0199,Amit,Chouksey,18.1,73.7
STU_0200,Rohit,Verma,10.8,81.6
STU_0201,Rohit,Singh,29.5,71.9
STU_0202,Rahul,Yadav,29.1,66.1
STU_0203,Karan,Mishra,19.6,63.2
STU_0204,Rohit,Joshi,14.0,90.5
STU_0205,Priya,Sharma,24.1,53.2
